1	21234036	沉思录	(古罗马) 玛克斯·奥勒留著	2019-05-11	2019-05-17	社科（1）
93	21513762	智能大数据SMART准则:数据分析方法、案例和行动纲领:using smart big data, analytics and metrics to m...	(美) Bernard Marr著	2017-03-04	2017-03-11	社科（3）		
94	21157299	Head first python.影印版	Paul Barry著	2017-02-28	2017-04-25	自科（2）		
95	21147006	Python入门经典:以解决计算问题为导向的Python编程实践	(美) William F. Punch, Richard Enbody著	2017-02-28	2017-04-18	自科（2）		
96	21194266	Oracle从入门到精通	明日科技编著	2017-02-27	2017-04-18	自科（2）		
97	020908041	Dreamweaver 8和JSP动态网站开发	林建宏, 赖慧敏编著	2017-02-21	2017-04-18	自科（2）		
98	21499396	微机原理、汇编与接口技术教程	王晓虹 ... [等] 编著	2017-01-14	2017-03-04	自科（2）		
99	21204492	数字电子技术基础全程学习指导与习题精解	主编肖红军	2016-12-28	2017-01-05	自科（2）		
100	20972409	C和指针	(美) Kenneth A. Reek著	2016-12-28	2017-01-14	自科（2）		
101	21177909	数据结构与算法:C语言版	胡明, 王红梅编著	2016-12-24	2017-01-14	自科（2）		
102	M2017021258	汇编语言	王爽著	2016-12-24	2017-02-23	自科（2）		
103	21495814	C语言课程设计案例精编.第3版	吴启武主编	2016-12-19	2017-01-04	自科（2）		
104	21244954	计算机组成与结构	谢永宁编著	2016-12-11	2016-12-24	自科（2）		
105	20864983	新编数字电路与EDA技术实验实训指导	陈小毛, 胡机秀, 卜波涛编著	2016-12-11	2017-01-04	自科（2）		
106	20802704	数据库系统简明教程	王珊	2016-11-27	2017-01-08	自科（2）		
107	20986901	万历十五年	黄仁宇著	2016-11-10	2017-01-12	社科（5）		
108	21426531	头顶的星空:美学与终极关怀	潘知常著	2016-11-09	2016-12-10	社科（1）		
109	21177909	数据结构与算法:C语言版	胡明, 王红梅编著	2016-11-03	2016-12-24	自科（2）		
110	M2017021258	汇编语言	王爽著	2016-10-29	2016-12-24	自科（2）		
111	20972409	C和指针	(美) Kenneth A. Reek著	2016-10-29	2016-12-28	自科（2）		
112	21244954	计算机组成与结构	谢永宁编著	2016-10-14	2016-12-11	自科（2）		
113	20772295	废都	贾平凹著	2016-09-25	2016-10-11	社科（4）		
114	21208554	数字电子技术基础	王克义编著	2016-09-12	2016-11-03	自科（2）		
115	21373548	没有色彩的多崎作和他的巡礼之年	(日) 村上春树著	2016-09-10	2016-09-12	社科（4）		
116	21402067	数字电子技术	李丽敏, 张玲玉主编	2016-09-08	2016-11-03	自科（2）		
117	21426531	头顶的星空:美学与终极关怀	潘知常著	2016-09-07	2016-11-09	社科（1）		
118	20786223	数据库系统概论	王珊, 萨师煊	2016-09-04	2016-11-03	自科（2）		
119	21347511	皮囊	蔡崇达著	2016-09-04	2016-09-08	社科（4）		
120	21127450	绑架游戏	(日) 东野圭吾著	2016-09-04	2016-09-08	社科（4）		
121	21177909	数据结构与算法:C语言版	胡明, 王红梅编著	2016-09-04	2016-11-03	自科（2）		
122	20972408	C和指针	(美) Kenneth A. Reek著	2016-07-04	2016-09-04	自科（2）		
123	21218176	疯狂Java程序员的基本修养	李刚编著	2016-07-04	2016-09-04	自科（2）		
124	21006325	妙趣横生的算法(C语言实现)	杨峰编著	2016-07-04	2016-09-04	自科（2）		
125	21177909	数据结构与算法:C语言版	胡明, 王红梅编著	2016-07-04	2016-09-04	自科（2）		
126	20786223	数据库系统概论	王珊, 萨师煊	2016-07-04	2016-09-04	自科（2）		
127	21133254	圣女的救济:《嫌疑人X的献身》续集	(日)东野圭吾著	2016-07-04	2016-09-04	社科（4）		
128	21127450	绑架游戏	(日) 东野圭吾著	2016-07-04	2016-09-04	社科（4）		
129	20994538	C语言程序设计实验与习题集	彭文艺, 韩丽娟编	2016-06-22	2016-09-04	自科（2）		
130	20944486	天黑以后	村上春树著	2016-06-18	2016-06-22	社科（4）		
131	21145869	喜欢你是寂静的:林徽因传	王臣著	2016-06-16	2016-09-10	社科（5）		
132	M2016025057	走吧 张小砚	张小砚著	2016-06-16	2016-09-04	社科（4）		
133	20928934	国境以南 太阳以西.新版	(日)村上春树著	2016-06-10	2016-06-18	社科（4）		
134	20885279	高等数学教材辅导	马杰主编	2016-06-05	2016-06-21	自科（1）		
135	20687009	C语言程序设计教程	朱承学主编	2016-05-21	2016-06-21	自科（2）		
136	20806130	红岩	罗广斌, 杨益言著	2016-05-18	2016-07-01	社科（4）		
137	20998658	幻夜	(日) 东野圭吾著	2016-05-15	2016-05-22	社科（4）		
138	21273265	罗马人的故事.1,罗马非一日建成	(日)盐野七生著	2016-05-03	2016-07-01	社科（5）		
139	M2016022926	史铁生精选集	史铁生著	2016-05-02	2016-07-01	社科（4）		
140	21351590	解忧杂货店	(日) 东野圭吾著	2016-04-25	2016-05-02	社科（4）		
141	21034795	清朝其实很有趣儿	雾满拦江著	2016-04-25	2016-06-16	社科（5）		
142	21291799	自由在高处	熊培云著	2016-04-23	2016-05-04	方山借书处		
143	20872891	高等数学辅导:同济五版	马志敏主编	2016-04-10	2016-05-15	自科（1）		
144	20908809	C语言程序设计	何钦铭, 颜晖主编	2016-04-10	2016-05-18	自科（2）		
145	21204957	淘金大学英语4级写作范文背诵100篇	主编钦寅	2016-03-30	2016-04-23	社科（5）		
146	20990688	烧饼歌中的历史	(明) 刘伯温著	2016-03-30	2016-04-25	社科（5）		
147	21120416	杀人之门	(日) 东野圭吾著	2016-03-22	2016-03-27	社科（4）		
148	20917662	710分大学英语四六级考试高分词汇突破:1-6级	主编马静	2016-03-03	2016-03-27	社科（5）		
149	21303807	黑客与画家:来自计算机时代的高见	(美) Paul Graham著	2016-03-01	2016-04-27	自科（2）		
150	21303807	黑客与画家:来自计算机时代的高见	(美) Paul Graham著	2016-03-01	2016-03-01	自科（2）		
151	21070727	朝鲜战场上那支没有番号的连队	政夯著	2016-03-01	2016-03-27	社科（4）		
152	21317933	大教堂与集市	(美) Eric S. Raymond著	2016-03-01	2016-04-25	社科（3）		
153	20957653	寻羊冒险记	(日)村上春树著	2016-01-10	2016-02-24	社科（4）		
154	20862974	1973年的弹子球	(日) 村上春树著	2016-01-10	2016-02-24	社科（4）		
155	20353011	Java语言程序设计.第2版	丁振凡编著	2016-01-03	2016-01-07	自科（2）		
156	20858003	高等数学典型例题与解法	李建平, 朱健民, 敖武峰编著	2015-12-22	2015-12-29	自科（1）		
157	20858003	高等数学典型例题与解法	李建平, 朱健民, 敖武峰编著	2015-12-22	2015-12-22	自科（1）		
158	20890995	且听风呤	村上春树	2015-12-15	2016-01-08	社科（4）		
159	21350845	教父前传	(美) 马里奥·普佐, 埃德·法尔科著	2015-12-15	2016-01-08	社科（4）		
160	21360748	终极教父.第2版	(美) 马里奥·普佐著	2015-12-15	2015-12-29	社科（4）		
161	020370787	活着的事	史铁生著	2015-11-29	2015-12-10	社科（4）	
