黄山旅游(600054)	20.99	32.64	D	1.83	0.00	0.00	9.82	
平安银行(000001)	15.83	32.60	D	4.00	0.00	0.00	12.77	
中国国旅(601888)	21.28	32.60	D	2.68	0.00	0.00	8.64	
招商证券(600999)	18.47	32.59	D	4.00	0.00	0.00	10.12	
华懋科技(603306)	24.62	32.59	D	2.79	0.00	0.00	5.18	
艾迪精密(603638)	22.37	32.56	D	2.31	0.00	0.00	7.88	
爱柯迪(600933)	22.74	32.56	D	1.33	0.00	0.00	8.49	
南京高科(600064)	18.52	32.54	D	4.00	0.00	0.00	10.02	
数据港(603881)	20.23	32.50	D	4.00	0.00	0.00	8.27	
宁波高发(603788)	24.80	32.48	D	2.70	0.00	0.00	4.98	
浙商证券(601878)	15.02	32.46	D	4.00	0.00	0.00	13.44	
浦发银行(600000)	16.72	32.45	D	4.00	0.00	0.00	11.73	
太平鸟(603877)	20.81	32.43	D	1.62	0.00	0.00	10.00	
ST慧球(600556)	1.01	32.42	D	4.52	12.00	8.00	6.89	
天目湖(603136)	21.29	32.41	D	1.91	0.00	0.00	9.21	
博士眼镜(300622)	22.10	32.41	D	0.55	0.00	0.00	9.76	
长江证券(000783)	16.58	32.34	D	4.00	0.00	0.00	11.76	
成都银行(601838)	19.58	32.34	D	4.00	0.00	0.00	8.76	
中国电影(600977)	20.96	32.34	D	1.87	0.00	0.00	9.51	
拉夏贝尔(603157)	22.14	32.32	D	0.45	0.00	0.00	9.73	
建设银行(601939)	17.94	32.29	D	4.00	0.00	0.00	10.35	
老板电器(002508)	24.96	32.24	D	2.24	0.00	0.00	5.04	
光明地产(600708)	19.36	32.21	D	2.85	0.00	0.00	10.00	
云南城投(600239)	13.20	32.20	D	4.00	0.00	0.00	15.00	
中国武夷(000797)	13.65	32.17	D	3.52	0.00	0.00	15.00	
方大炭素(600516)	24.90	32.17	D	4.00	0.00	0.00	3.27	
洋河股份(002304)	21.78	32.17	D	1.11	0.00	0.00	9.28	
国元证券(000728)	15.94	32.13	D	4.00	0.00	0.00	12.19	
王府井(600859)	19.17	32.13	D	2.96	0.00	0.00	10.00	
桃李面包(603866)	23.97	32.09	D	0.01	0.00	0.00	8.11	
万通地产(600246)	13.08	32.08	D	4.00	0.00	0.00	15.00	
全聚德(002186)	20.71	32.08	D	1.64	0.00	0.00	9.73	
中兴通讯(000063)	17.11	32.07	D	4.00	0.00	0.00	10.96	
璞泰来(603659)	22.16	32.06	D	4.35	0.00	0.00	5.55	
银信科技(300231)	21.15	32.05	D	2.80	0.00	0.00	8.10	
红豆股份(600400)	23.05	32.03	D	0.62	0.00	0.00	8.36	
中国人寿(601628)	16.18	32.01	D	4.00	0.00	0.00	11.83	
易见股份(600093)	19.83	31.97	D	3.00	0.00	0.00	9.14	
水井坊(600779)	21.75	31.97	D	3.00	0.00	0.00	7.22	
生物股份(600201)	23.29	31.94	D	3.00	0.00	0.00	5.65	
汇金科技(300561)	23.11	31.88	D	4.00	0.00	0.00	4.77	
康普顿(603798)	21.47	31.86	D	0.96	0.00	0.00	9.43	
佛燃股份(002911)	20.63	31.84	D	2.20	0.00	0.00	9.01	
滨江集团(002244)	18.36	31.83	D	1.83	0.00	0.00	11.64	
兆易创新(603986)	21.48	31.83	D	4.00	0.00	0.00	6.35	
健帆生物(300529)	23.11	31.81	D	2.67	0.00	0.00	6.03	
广联达(002410)	23.33	31.78	D	4.00	0.00	0.00	4.45	
张裕A(000869)	19.69	31.77	D	3.00	0.00	0.00	9.08	
伊利股份(600887)	23.18	31.76	D	3.00	0.00	0.00	5.58	
法拉电子(600563)	24.93	31.71	D	4.00	0.00	0.00	2.78	
火炬电子(603678)	18.56	31.68	D	2.61	0.00	0.00	10.51	
荣泰健康(603579)	22.33	31.62	D	2.26	0.00	0.00	7.03	
桂发祥(002820)	22.55	31.61	D	0.12	0.00	0.00	8.94	
金溢科技(002869)	21.17	31.60	D	4.00	0.00	0.00	6.43	
阳光股份(000608)	13.88	31.58	D	2.70	0.00	0.00	15.00	
铁流股份(603926)	23.74	31.58	D	2.00	0.00	0.00	5.84	
九牧王(601566)	23.73	31.57	D	1.02	0.00	0.00	6.82	
酒鬼酒(000799)	19.77	31.57	D	3.00	0.00	0.00	8.80	
西部证券(002673)	14.62	31.50	D	4.00	0.00	0.00	12.88	
汤臣倍健(300146)	23.57	31.49	D	3.00	0.00	0.00	4.92	
广州酒家(603043)	23.62	31.47	D	1.30	0.00	0.00	6.55	
健康元(600380)	21.99	31.47	D	1.62	0.00	0.00	7.86	
北京银行(601169)	17.92	31.46	D	4.00	0.00	0.00	9.54	
浙江美大(002677)	23.68	31.44	D	2.24	0.00	0.00	5.52	
塔牌集团(002233)	22.81	31.44	D	4.00	0.00	0.00	4.63	
道道全(002852)	21.51	31.40	D	1.64	0.00	0.00	8.25	
东尼电子(603595)	19.25	31.39	D	4.00	0.00	0.00	8.14	
兆丰股份(300695)	24.02	31.38	D	1.91	0.00	0.00	5.45	
中信银行(601998)	17.42	31.35	D	4.00	0.00	0.00	9.93	
美亚柏科(300188)	20.92	31.35	D	4.00	0.00	0.00	6.43	
华联控股(000036)	22.45	31.31	D	0.95	0.00	0.00	7.91	
德生科技(002908)	20.09	31.29	D	3.51	0.00	0.00	7.69	
爱尔眼科(300015)	21.58	31.29	D	1.31	0.00	0.00	8.40	
兴业证券(601377)	16.30	31.28	D	4.00	0.00	0.00	10.98	
正海生物(300653)	23.00	31.28	D	3.00	0.00	0.00	5.28	
国金证券(600109)	13.47	31.28	D	4.00	0.00	0.00	13.81	
市北高新(600604)	12.27	31.27	D	4.00	0.00	0.00	15.00	
福耀玻璃(600660)	24.60	31.25	D	1.33	0.00	0.00	5.32	
东方证券(600958)	17.36	31.25	D	4.00	0.00	0.00	9.89	
伟星新材(002372)	24.53	31.25	D	4.00	0.00	0.00	2.72	
飞科电器(603868)	24.92	31.24	D	1.67	0.00	0.00	4.65	
卧龙地产(600173)	20.26	31.24	D	4.00	0.00	0.00	6.98	
浙江仙通(603239)	24.41	31.23	D	1.07	0.00	0.00	5.75	
桂林三金(002275)	24.72	31.23	D	0.06	0.00	0.00	6.45	
罗莱生活(002293)	22.06	31.21	D	3.00	0.00	0.00	6.15	
